登录时间,被试编号,性别,惯用手,标识
07-23 13:37,1.0,男,右手,SZ21-01
07-23 13:37,2.0,女,右手,SZ21-02
07-23 13:37,3.0,男,右手,SZ21-03
07-23 13:40,1.0,男,右手,SZ21-01
07-23 13:40,2.0,女,右手,SZ21-02
07-23 13:40,3.0,男,右手,SZ21-03
07-23 13:40,1.0,男,右手,SZ21-01
07-23 13:40,2.0,女,右手,SZ21-02
07-23 13:40,3.0,男,右手,SZ21-03
07-23 13:44,1.0,男,右手,SZ21-01
07-23 13:44,2.0,女,右手,SZ21-02
07-23 13:44,3.0,男,右手,SZ21-03
07-23 13:48,1.0,男,右手,SZ21-01
07-23 13:48,2.0,女,右手,SZ21-02
07-23 13:48,3.0,男,右手,SZ21-03
07-23 13:48,1.0,男,右手,SZ21-01
07-23 13:48,2.0,女,右手,SZ21-02
07-23 13:48,3.0,男,右手,SZ21-03
07-23 13:49,1.0,男,右手,SZ21-01
07-23 13:49,2.0,女,右手,SZ21-02
07-23 13:49,3.0,男,右手,SZ21-03
07-23 13:49,1.0,男,右手,SZ21-01
07-23 13:49,2.0,女,右手,SZ21-02
07-23 13:49,3.0,男,右手,SZ21-03
07-23 13:50,1.0,男,右手,SZ21-01
07-23 13:50,2.0,女,右手,SZ21-02
07-23 13:50,3.0,男,右手,SZ21-03
07-23 14:08,1.0,男,右手,SZ21-01
07-23 14:08,2.0,女,右手,SZ21-02
07-23 14:08,3.0,男,右手,SZ21-03
07-23 14:11,1.0,男,右手,SZ21-01
07-23 14:11,2.0,女,右手,SZ21-02
07-23 14:11,3.0,男,右手,SZ21-03
07-23 14:19,1.0,男,右手,SZ21-01
07-23 14:19,2.0,女,右手,SZ21-02
07-23 14:19,3.0,男,右手,SZ21-03
07-23 14:20,1.0,男,右手,SZ21-01
07-23 14:20,2.0,女,右手,SZ21-02
07-23 14:20,3.0,男,右手,SZ21-03
07-23 14:21,1.0,男,右手,SZ21-01
07-23 14:21,2.0,女,右手,SZ21-02
07-23 14:21,3.0,男,右手,SZ21-03
07-23 14:25,1.0,男,右手,SZ21-01
07-23 14:25,2.0,女,右手,SZ21-02
07-23 14:25,3.0,男,右手,SZ21-03
07-23 14:26,1.0,男,右手,SZ21-01
07-23 14:26,2.0,女,右手,SZ21-02
07-23 14:26,3.0,男,右手,SZ21-03
07-23 14:26,1.0,男,右手,SZ21-01
07-23 14:26,2.0,女,右手,SZ21-02
07-23 14:26,3.0,男,右手,SZ21-03
07-23 14:33,1.0,男,右手,SZ21-01
07-23 14:33,2.0,女,右手,SZ21-02
07-23 14:33,3.0,男,右手,SZ21-03
07-23 14:37,1.0,男,右手,SZ21-01
07-23 14:37,2.0,女,右手,SZ21-02
07-23 14:37,3.0,男,右手,SZ21-03
07-23 14:37,1.0,男,右手,SZ21-01
07-23 14:37,2.0,女,右手,SZ21-02
07-23 14:37,3.0,男,右手,SZ21-03
07-23 14:41,1.0,男,右手,SZ21-01
07-23 14:41,2.0,女,右手,SZ21-02
07-23 14:41,3.0,男,右手,SZ21-03
07-23 14:42,1.0,男,右手,SZ21-01
07-23 14:42,2.0,女,右手,SZ21-02
07-23 14:42,3.0,男,右手,SZ21-03
07-23 14:43,1.0,男,右手,SZ21-01
07-23 14:43,2.0,女,右手,SZ21-02
07-23 14:43,3.0,男,右手,SZ21-03
07-23 14:44,1.0,男,右手,SZ21-01
07-23 14:44,2.0,女,右手,SZ21-02
07-23 14:44,3.0,男,右手,SZ21-03
07-23 14:47,1.0,男,右手,SZ21-01
07-23 14:47,2.0,女,右手,SZ21-02
07-23 14:47,3.0,男,右手,SZ21-03
07-23 14:47,1.0,男,右手,SZ21-01
07-23 14:47,2.0,女,右手,SZ21-02
07-23 14:47,3.0,男,右手,SZ21-03
07-23 14:49,1.0,男,右手,SZ21-01
07-23 14:49,2.0,女,右手,SZ21-02
07-23 14:49,3.0,男,右手,SZ21-03
07-23 14:49,1.0,男,右手,SZ21-01
07-23 14:49,2.0,女,右手,SZ21-02
07-23 14:49,3.0,男,右手,SZ21-03
07-23 14:59,1.0,男,右手,SZ21-01
07-23 14:59,2.0,女,右手,SZ21-02
07-23 14:59,3.0,男,右手,SZ21-03
07-23 14:59,1.0,男,右手,SZ21-01
07-23 14:59,2.0,女,右手,SZ21-02
07-23 14:59,3.0,男,右手,SZ21-03
07-23 15:00,1.0,男,右手,SZ21-01
07-23 15:00,2.0,女,右手,SZ21-02
07-23 15:00,3.0,男,右手,SZ21-03
07-23 15:00,1.0,男,右手,SZ21-01
07-23 15:00,2.0,女,右手,SZ21-02
07-23 15:00,3.0,男,右手,SZ21-03
07-23 15:04,1.0,男,右手,SZ21-01
07-23 15:04,2.0,女,右手,SZ21-02
07-23 15:04,3.0,男,右手,SZ21-03
07-23 15:05,1.0,男,右手,SZ21-01
07-23 15:05,2.0,女,右手,SZ21-02
07-23 15:05,3.0,男,右手,SZ21-03
07-23 15:24,1.0,男,右手,SZ21-01
07-23 15:24,2.0,女,右手,SZ21-02
07-23 15:24,3.0,男,右手,SZ21-03
07-23 15:25,1.0,男,右手,SZ21-01
07-23 15:25,2.0,女,右手,SZ21-02
07-23 15:25,3.0,男,右手,SZ21-03
07-23 15:47,1.0,男,右手,SZ21-01
07-23 15:47,2.0,女,右手,SZ21-02
07-23 15:47,3.0,男,右手,SZ21-03
07-23 15:50,1.0,男,右手,SZ21-01
07-23 15:50,2.0,女,右手,SZ21-02
07-23 15:50,3.0,男,右手,SZ21-03
07-23 15:53,1.0,男,右手,SZ21-01
07-23 15:53,2.0,女,右手,SZ21-02
07-23 15:53,3.0,男,右手,SZ21-03
07-23 15:54,1.0,男,右手,SZ21-01
07-23 15:54,2.0,女,右手,SZ21-02
07-23 15:54,3.0,男,右手,SZ21-03
07-23 16:01,1.0,男,右手,SZ21-01
07-23 16:01,2.0,女,右手,SZ21-02
07-23 16:01,3.0,男,右手,SZ21-03
07-23 16:02,1.0,男,右手,SZ21-01
07-23 16:02,2.0,女,右手,SZ21-02
07-23 16:02,3.0,男,右手,SZ21-03
07-23 16:08,1.0,男,右手,SZ21-01
07-23 16:08,2.0,女,右手,SZ21-02
07-23 16:08,3.0,男,右手,SZ21-03
07-23 16:35,1.0,男,右手,SZ21-01
07-23 16:35,2.0,女,右手,SZ21-02
07-23 16:35,3.0,男,右手,SZ21-03
07-23 16:36,1.0,男,右手,SZ21-01
07-23 16:36,2.0,女,右手,SZ21-02
07-23 16:36,3.0,男,右手,SZ21-03
07-23 16:40,1.0,男,右手,SZ21-01
07-23 16:40,2.0,女,右手,SZ21-02
07-23 16:40,3.0,男,右手,SZ21-03
07-23 16:43,1.0,男,右手,SZ21-01
07-23 16:43,2.0,女,右手,SZ21-02
07-23 16:43,3.0,男,右手,SZ21-03
07-23 16:45,1.0,男,右手,SZ21-01
07-23 16:45,2.0,女,右手,SZ21-02
07-23 16:45,3.0,男,右手,SZ21-03
07-23 16:46,1.0,男,右手,SZ21-01
07-23 16:46,2.0,女,右手,SZ21-02
07-23 16:46,3.0,男,右手,SZ21-03
07-23 16:48,1.0,男,右手,SZ21-01
07-23 16:48,2.0,女,右手,SZ21-02
07-23 16:48,3.0,男,右手,SZ21-03
07-23 16:48,1.0,男,右手,SZ21-01
07-23 16:48,2.0,女,右手,SZ21-02
07-23 16:48,3.0,男,右手,SZ21-03
07-23 16:52,1.0,男,右手,SZ21-01
07-23 16:52,2.0,女,右手,SZ21-02
07-23 16:52,3.0,男,右手,SZ21-03
07-23 16:55,1.0,男,右手,SZ21-01
07-23 16:55,2.0,女,右手,SZ21-02
07-23 16:55,3.0,男,右手,SZ21-03
07-23 16:56,1.0,男,右手,SZ21-01
07-23 16:56,2.0,女,右手,SZ21-02
07-23 16:56,3.0,男,右手,SZ21-03
07-23 16:57,1.0,男,右手,SZ21-01
07-23 16:57,2.0,女,右手,SZ21-02
07-23 16:57,3.0,男,右手,SZ21-03
07-23 16:57,1.0,男,右手,SZ21-01
07-23 16:57,2.0,女,右手,SZ21-02
07-23 16:57,3.0,男,右手,SZ21-03
07-23 17:00,1.0,男,右手,SZ21-01
07-23 17:00,2.0,女,右手,SZ21-02
07-23 17:00,3.0,男,右手,SZ21-03
07-23 17:37,1.0,男,右手,SZ21-01
07-23 17:37,2.0,女,右手,SZ21-02
07-23 17:37,3.0,男,右手,SZ21-03
07-23 17:37,1.0,男,右手,SZ21-01
07-23 17:37,2.0,女,右手,SZ21-02
07-23 17:37,3.0,男,右手,SZ21-03
07-23 17:38,1.0,男,右手,SZ21-01
07-23 17:38,2.0,女,右手,SZ21-02
07-23 17:38,3.0,男,右手,SZ21-03
07-23 17:41,1.0,男,右手,SZ21-01
07-23 17:41,2.0,女,右手,SZ21-02
07-23 17:41,3.0,男,右手,SZ21-03
07-23 17:41,1.0,男,右手,SZ21-01
07-23 17:41,2.0,女,右手,SZ21-02
07-23 17:41,3.0,男,右手,SZ21-03
07-23 17:42,1.0,男,右手,SZ21-01
07-23 17:42,2.0,女,右手,SZ21-02
07-23 17:42,3.0,男,右手,SZ21-03
07-23 17:42,1.0,男,右手,SZ21-01
07-23 17:42,2.0,女,右手,SZ21-02
07-23 17:42,3.0,男,右手,SZ21-03
07-23 17:43,1.0,男,右手,SZ21-01
07-23 17:43,2.0,女,右手,SZ21-02
07-23 17:43,3.0,男,右手,SZ21-03
07-23 17:45,1.0,男,右手,SZ21-01
07-23 17:45,2.0,女,右手,SZ21-02
07-23 17:45,3.0,男,右手,SZ21-03
07-23 17:47,1.0,男,右手,SZ21-01
07-23 17:47,2.0,女,右手,SZ21-02
07-23 17:47,3.0,男,右手,SZ21-03
07-23 17:48,1.0,男,右手,SZ21-01
07-23 17:48,2.0,女,右手,SZ21-02
07-23 17:48,3.0,男,右手,SZ21-03
07-23 17:50,1.0,男,右手,SZ21-01
07-23 17:50,2.0,女,右手,SZ21-02
07-23 17:50,3.0,男,右手,SZ21-03
07-23 17:50,1.0,男,右手,SZ21-01
07-23 17:50,2.0,女,右手,SZ21-02
07-23 17:50,3.0,男,右手,SZ21-03
07-23 17:52,1.0,男,右手,SZ21-01
07-23 17:52,2.0,女,右手,SZ21-02
07-23 17:52,3.0,男,右手,SZ21-03
07-23 17:53,1.0,男,右手,SZ21-01
07-23 17:53,2.0,女,右手,SZ21-02
07-23 17:53,3.0,男,右手,SZ21-03
07-23 17:54,1.0,男,右手,SZ21-01
07-23 17:54,2.0,女,右手,SZ21-02
07-23 17:54,3.0,男,右手,SZ21-03
07-23 17:55,1.0,男,右手,SZ21-01
07-23 17:55,2.0,女,右手,SZ21-02
07-23 17:55,3.0,男,右手,SZ21-03
07-23 17:56,1.0,男,右手,SZ21-01
07-23 17:56,2.0,女,右手,SZ21-02
07-23 17:56,3.0,男,右手,SZ21-03
07-23 17:58,1.0,男,右手,SZ21-01
07-23 17:58,2.0,女,右手,SZ21-02
07-23 17:58,3.0,男,右手,SZ21-03
07-23 18:00,1.0,男,右手,SZ21-01
07-23 18:00,2.0,女,右手,SZ21-02
07-23 18:00,3.0,男,右手,SZ21-03
07-23 18:04,1.0,男,右手,SZ21-01
07-23 18:04,2.0,女,右手,SZ21-02
07-23 18:04,3.0,男,右手,SZ21-03
07-23 18:05,1.0,男,右手,SZ21-01
07-23 18:05,2.0,女,右手,SZ21-02
07-23 18:05,3.0,男,右手,SZ21-03
07-23 18:07,1.0,男,右手,SZ21-01
07-23 18:07,2.0,女,右手,SZ21-02
07-23 18:07,3.0,男,右手,SZ21-03
07-23 18:13,1.0,男,右手,SZ21-01
07-23 18:13,2.0,女,右手,SZ21-02
07-23 18:13,3.0,男,右手,SZ21-03
07-23 18:19,1.0,男,右手,SZ21-01
07-23 18:19,2.0,女,右手,SZ21-02
07-23 18:19,3.0,男,右手,SZ21-03
07-23 18:25,1.0,男,右手,SZ21-01
07-23 18:25,2.0,女,右手,SZ21-02
07-23 18:25,3.0,男,右手,SZ21-03
07-23 18:29,1.0,男,右手,SZ21-01
07-23 18:29,2.0,女,右手,SZ21-02
07-23 18:29,3.0,男,右手,SZ21-03
07-23 18:33,1.0,男,右手,SZ21-01
07-23 18:33,2.0,女,右手,SZ21-02
07-23 18:33,3.0,男,右手,SZ21-03
07-23 18:43,1.0,男,右手,SZ21-01
07-23 18:43,2.0,女,右手,SZ21-02
07-23 18:43,3.0,男,右手,SZ21-03
07-23 18:50,1.0,男,右手,SZ21-01
07-23 18:50,2.0,女,右手,SZ21-02
07-23 18:50,3.0,男,右手,SZ21-03
07-23 18:56,1.0,男,右手,SZ21-01
07-23 18:56,2.0,女,右手,SZ21-02
07-23 18:56,3.0,男,右手,SZ21-03
07-23 19:05,1.0,男,右手,SZ21-01
07-23 19:05,2.0,女,右手,SZ21-02
07-23 19:05,3.0,男,右手,SZ21-03
07-23 19:09,1.0,男,右手,SZ21-01
07-23 19:09,2.0,女,右手,SZ21-02
07-23 19:09,3.0,男,右手,SZ21-03
07-23 19:17,1.0,男,右手,SZ21-01
07-23 19:17,2.0,女,右手,SZ21-02
07-23 19:17,3.0,男,右手,SZ21-03
07-23 19:18,1.0,男,右手,SZ21-01
07-23 19:18,2.0,女,右手,SZ21-02
07-23 19:18,3.0,男,右手,SZ21-03
07-23 19:19,1.0,男,右手,SZ21-01
07-23 19:19,2.0,女,右手,SZ21-02
07-23 19:19,3.0,男,右手,SZ21-03
07-23 19:22,1.0,男,右手,SZ21-01
07-23 19:22,2.0,女,右手,SZ21-02
07-23 19:22,3.0,男,右手,SZ21-03
07-23 19:24,1.0,男,右手,SZ21-01
07-23 19:24,2.0,女,右手,SZ21-02
07-23 19:24,3.0,男,右手,SZ21-03
07-23 19:41,1.0,男,右手,SZ21-01
07-23 19:41,2.0,女,右手,SZ21-02
07-23 19:41,3.0,男,右手,SZ21-03
07-23 19:42,1.0,男,右手,SZ21-01
07-23 19:42,2.0,女,右手,SZ21-02
07-23 19:42,3.0,男,右手,SZ21-03
07-23 19:54,1.0,男,右手,SZ21-01
07-23 19:54,2.0,女,右手,SZ21-02
07-23 19:54,3.0,男,右手,SZ21-03
07-23 19:56,1.0,男,右手,SZ21-01
07-23 19:56,2.0,女,右手,SZ21-02
07-23 19:56,3.0,男,右手,SZ21-03
07-23 19:56,1.0,男,右手,SZ21-01
07-23 19:56,2.0,女,右手,SZ21-02
07-23 19:56,3.0,男,右手,SZ21-03
07-23 20:00,1.0,男,右手,SZ21-01
07-23 20:00,2.0,女,右手,SZ21-02
07-23 20:00,3.0,男,右手,SZ21-03
07-23 20:03,1.0,男,右手,SZ21-01
07-23 20:03,2.0,女,右手,SZ21-02
07-23 20:03,3.0,男,右手,SZ21-03
07-23 20:07,1.0,男,右手,SZ21-01
07-23 20:07,2.0,女,右手,SZ21-02
07-23 20:07,3.0,男,右手,SZ21-03
07-23 20:10,1.0,男,右手,SZ21-01
07-23 20:10,2.0,女,右手,SZ21-02
07-23 20:10,3.0,男,右手,SZ21-03
07-23 20:11,1.0,男,右手,SZ21-01
07-23 20:11,2.0,女,右手,SZ21-02
07-23 20:11,3.0,男,右手,SZ21-03
07-23 20:14,1.0,男,右手,SZ21-01
07-23 20:14,2.0,女,右手,SZ21-02
07-23 20:14,3.0,男,右手,SZ21-03
07-23 20:19,1.0,男,右手,SZ21-01
07-23 20:19,2.0,女,右手,SZ21-02
07-23 20:19,3.0,男,右手,SZ21-03
07-23 20:22,1.0,男,右手,SZ21-01
07-23 20:22,2.0,女,右手,SZ21-02
07-23 20:22,3.0,男,右手,SZ21-03
07-23 20:24,1.0,男,右手,SZ21-01
07-23 20:24,2.0,女,右手,SZ21-02
07-23 20:24,3.0,男,右手,SZ21-03
07-23 20:27,1.0,男,右手,SZ21-01
07-23 20:27,2.0,女,右手,SZ21-02
07-23 20:27,3.0,男,右手,SZ21-03
07-23 20:28,1.0,男,右手,SZ21-01
07-23 20:28,2.0,女,右手,SZ21-02
07-23 20:28,3.0,男,右手,SZ21-03
07-23 20:30,1.0,男,右手,SZ21-01
07-23 20:30,2.0,女,右手,SZ21-02
07-23 20:30,3.0,男,右手,SZ21-03
07-23 20:35,1.0,男,右手,SZ21-01
07-23 20:35,2.0,女,右手,SZ21-02
07-23 20:35,3.0,男,右手,SZ21-03
07-23 20:40,1.0,男,右手,SZ21-01
07-23 20:40,2.0,女,右手,SZ21-02
07-23 20:40,3.0,男,右手,SZ21-03
07-23 20:40,1.0,男,右手,SZ21-01
07-23 20:40,2.0,女,右手,SZ21-02
07-23 20:40,3.0,男,右手,SZ21-03
07-23 20:44,1.0,男,右手,SZ21-01
07-23 20:44,2.0,女,右手,SZ21-02
07-23 20:44,3.0,男,右手,SZ21-03
07-23 20:44,1.0,男,右手,SZ21-01
07-23 20:44,2.0,女,右手,SZ21-02
07-23 20:44,3.0,男,右手,SZ21-03
07-23 20:45,1.0,男,右手,SZ21-01
07-23 20:45,2.0,女,右手,SZ21-02
07-23 20:45,3.0,男,右手,SZ21-03
07-23 20:55,1.0,男,右手,SZ21-01
07-23 20:55,2.0,女,右手,SZ21-02
07-23 20:55,3.0,男,右手,SZ21-03
07-23 20:59,1.0,男,右手,SZ21-01
07-23 20:59,2.0,女,右手,SZ21-02
07-23 20:59,3.0,男,右手,SZ21-03
07-23 21:04,1.0,男,右手,SZ21-01
07-23 21:04,2.0,女,右手,SZ21-02
07-23 21:04,3.0,男,右手,SZ21-03
07-23 21:05,1.0,男,右手,SZ21-01
07-23 21:05,2.0,女,右手,SZ21-02
07-23 21:05,3.0,男,右手,SZ21-03
07-23 21:07,1.0,男,右手,SZ21-01
07-23 21:07,2.0,女,右手,SZ21-02
07-23 21:07,3.0,男,右手,SZ21-03
07-23 21:13,1.0,男,右手,SZ21-01
07-23 21:13,2.0,女,右手,SZ21-02
07-23 21:13,3.0,男,右手,SZ21-03
07-23 21:19,1.0,男,右手,SZ21-01
07-23 21:19,2.0,女,右手,SZ21-02
07-23 21:19,3.0,男,右手,SZ21-03
07-23 21:23,1.0,男,右手,SZ21-01
07-23 21:23,2.0,女,右手,SZ21-02
07-23 21:23,3.0,男,右手,SZ21-03
07-23 21:25,1.0,男,右手,SZ21-01
07-23 21:25,2.0,女,右手,SZ21-02
07-23 21:25,3.0,男,右手,SZ21-03
07-23 21:28,1.0,男,右手,SZ21-01
07-23 21:28,2.0,女,右手,SZ21-02
07-23 21:28,3.0,男,右手,SZ21-03
07-23 21:30,1.0,男,右手,SZ21-01
07-23 21:30,2.0,女,右手,SZ21-02
07-23 21:30,3.0,男,右手,SZ21-03
07-23 21:32,1.0,男,右手,SZ21-01
07-23 21:32,2.0,女,右手,SZ21-02
07-23 21:32,3.0,男,右手,SZ21-03
07-23 21:34,1.0,男,右手,SZ21-01
07-23 21:34,2.0,女,右手,SZ21-02
07-23 21:34,3.0,男,右手,SZ21-03
07-23 21:51,1.0,男,右手,SZ21-01
07-23 21:51,2.0,女,右手,SZ21-02
07-23 21:51,3.0,男,右手,SZ21-03
07-23 21:54,1.0,男,右手,SZ21-01
07-23 21:54,2.0,女,右手,SZ21-02
07-23 21:54,3.0,男,右手,SZ21-03
07-23 21:55,1.0,男,右手,SZ21-01
07-23 21:55,2.0,女,右手,SZ21-02
07-23 21:55,3.0,男,右手,SZ21-03
07-25 00:11,1.0,男,右手,SZ21-01
07-25 00:11,2.0,女,右手,SZ21-02
07-25 00:11,3.0,男,右手,SZ21-03
07-25 00:14,1.0,男,右手,SZ21-01
07-25 00:14,2.0,女,右手,SZ21-02
07-25 00:14,3.0,男,右手,SZ21-03
07-25 07:17,1.0,男,右手,SZ21-01
07-25 07:17,2.0,女,右手,SZ21-02
07-25 07:17,3.0,男,右手,SZ21-03
07-25 07:20,1.0,男,右手,SZ21-01
07-25 07:20,2.0,女,右手,SZ21-02
07-25 07:20,3.0,男,右手,SZ21-03
07-25 07:27,1.0,男,右手,SZ21-01
07-25 07:27,2.0,女,右手,SZ21-02
07-25 07:27,3.0,男,右手,SZ21-03
07-25 07:28,1.0,男,右手,SZ21-01
07-25 07:28,2.0,女,右手,SZ21-02
07-25 07:28,3.0,男,右手,SZ21-03
07-25 07:29,1.0,男,右手,SZ21-01
07-25 07:29,2.0,女,右手,SZ21-02
07-25 07:29,3.0,男,右手,SZ21-03
07-25 07:30,1.0,男,右手,SZ21-01
07-25 07:30,2.0,女,右手,SZ21-02
07-25 07:30,3.0,男,右手,SZ21-03
07-25 07:39,1.0,男,右手,SZ21-01
07-25 07:39,2.0,女,右手,SZ21-02
07-25 07:39,3.0,男,右手,SZ21-03
07-25 07:44,1.0,男,右手,SZ21-01
07-25 07:44,2.0,女,右手,SZ21-02
07-25 07:44,3.0,男,右手,SZ21-03
07-25 10:19,1.0,男,右手,SZ21-01
07-25 10:19,2.0,女,右手,SZ21-02
07-25 10:19,3.0,男,右手,SZ21-03
07-25 14:08,1.0,男,右手,SZ21-01
07-25 14:08,2.0,女,右手,SZ21-02
07-25 14:08,3.0,男,右手,SZ21-03
07-25 14:11,1.0,男,右手,SZ21-01
07-25 14:11,2.0,女,右手,SZ21-02
07-25 14:11,3.0,男,右手,SZ21-03
07-25 14:13,1.0,男,右手,SZ21-01
07-25 14:13,2.0,女,右手,SZ21-02
07-25 14:13,3.0,男,右手,SZ21-03
07-25 14:16,1.0,男,右手,SZ21-01
07-25 14:16,2.0,女,右手,SZ21-02
07-25 14:16,3.0,男,右手,SZ21-03
07-25 14:17,1.0,男,右手,SZ21-01
07-25 14:17,2.0,女,右手,SZ21-02
07-25 14:17,3.0,男,右手,SZ21-03
07-25 14:18,1.0,男,右手,SZ21-01
07-25 14:18,2.0,女,右手,SZ21-02
07-25 14:18,3.0,男,右手,SZ21-03
07-25 14:19,1.0,男,右手,SZ21-01
07-25 14:19,2.0,女,右手,SZ21-02
07-25 14:19,3.0,男,右手,SZ21-03
07-25 14:21,1.0,男,右手,SZ21-01
07-25 14:21,2.0,女,右手,SZ21-02
07-25 14:21,3.0,男,右手,SZ21-03
07-25 14:23,1.0,男,右手,SZ21-01
07-25 14:23,2.0,女,右手,SZ21-02
07-25 14:23,3.0,男,右手,SZ21-03
07-25 14:25,1.0,男,右手,SZ21-01
07-25 14:25,2.0,女,右手,SZ21-02
07-25 14:25,3.0,男,右手,SZ21-03
07-25 14:29,1.0,男,右手,SZ21-01
07-25 14:29,2.0,女,右手,SZ21-02
07-25 14:29,3.0,男,右手,SZ21-03
07-25 14:31,1.0,男,右手,SZ21-01
07-25 14:31,2.0,女,右手,SZ21-02
07-25 14:31,3.0,男,右手,SZ21-03
07-25 14:31,1.0,男,右手,SZ21-01
07-25 14:31,2.0,女,右手,SZ21-02
07-25 14:31,3.0,男,右手,SZ21-03
07-25 14:37,1.0,男,右手,SZ21-01
07-25 14:37,2.0,女,右手,SZ21-02
07-25 14:37,3.0,男,右手,SZ21-03
07-25 15:30,1.0,男,右手,SZ21-01
07-25 15:30,2.0,女,右手,SZ21-02
07-25 15:30,3.0,男,右手,SZ21-03
07-25 17:00,1.0,男,右手,SZ21-01
07-25 17:00,2.0,女,右手,SZ21-02
07-25 17:00,3.0,男,右手,SZ21-03
07-25 17:06,1.0,男,右手,SZ21-01
07-25 17:06,2.0,女,右手,SZ21-02
07-25 17:06,3.0,男,右手,SZ21-03
07-25 17:08,1.0,男,右手,SZ21-01
07-25 17:08,2.0,女,右手,SZ21-02
07-25 17:08,3.0,男,右手,SZ21-03
07-25 17:11,1.0,男,右手,SZ21-01
07-25 17:11,2.0,女,右手,SZ21-02
07-25 17:11,3.0,男,右手,SZ21-03
07-25 17:15,1.0,男,右手,SZ21-01
07-25 17:15,2.0,女,右手,SZ21-02
07-25 17:15,3.0,男,右手,SZ21-03
07-25 17:21,1.0,男,右手,SZ21-01
07-25 17:21,2.0,女,右手,SZ21-02
07-25 17:21,3.0,男,右手,SZ21-03
07-25 17:22,1.0,男,右手,SZ21-01
07-25 17:22,2.0,女,右手,SZ21-02
07-25 17:22,3.0,男,右手,SZ21-03
07-25 17:26,1.0,男,右手,SZ21-01
07-25 17:26,2.0,女,右手,SZ21-02
07-25 17:26,3.0,男,右手,SZ21-03
07-25 17:31,1.0,男,右手,SZ21-01
07-25 17:31,2.0,女,右手,SZ21-02
07-25 17:31,3.0,男,右手,SZ21-03
07-25 18:03,1.0,男,右手,SZ21-01
07-25 18:03,2.0,女,右手,SZ21-02
07-25 18:03,3.0,男,右手,SZ21-03
07-25 18:13,1.0,男,右手,SZ21-01
07-25 18:13,2.0,女,右手,SZ21-02
07-25 18:13,3.0,男,右手,SZ21-03
07-25 18:14,1.0,男,右手,SZ21-01
07-25 18:14,2.0,女,右手,SZ21-02
07-25 18:14,3.0,男,右手,SZ21-03
07-25 18:17,1.0,男,右手,SZ21-01
07-25 18:17,2.0,女,右手,SZ21-02
07-25 18:17,3.0,男,右手,SZ21-03
07-25 18:20,1.0,男,右手,SZ21-01
07-25 18:20,2.0,女,右手,SZ21-02
07-25 18:20,3.0,男,右手,SZ21-03
07-25 18:32,1.0,男,右手,SZ21-01
07-25 18:32,2.0,女,右手,SZ21-02
07-25 18:32,3.0,男,右手,SZ21-03
07-25 18:37,1.0,男,右手,SZ21-01
07-25 18:37,2.0,女,右手,SZ21-02
07-25 18:37,3.0,男,右手,SZ21-03
07-25 18:40,3.0,男,右手,SZ21-03
07-25 18:40,1.0,男,右手,SZ21-01
07-25 18:40,2.0,女,右手,SZ21-02
07-25 18:41,1.0,男,右手,SZ21-01
07-25 18:41,2.0,女,右手,SZ21-02
07-25 18:41,3.0,男,右手,SZ21-03
07-25 18:42,1.0,男,右手,SZ21-01
07-25 18:42,2.0,女,右手,SZ21-02
07-25 18:42,3.0,男,右手,SZ21-03
07-25 18:43,1.0,男,右手,SZ21-01
07-25 18:43,2.0,女,右手,SZ21-02
07-25 18:43,3.0,男,右手,SZ21-03
07-25 18:44,1.0,男,右手,SZ21-01
07-25 18:44,2.0,女,右手,SZ21-02
07-25 18:44,3.0,男,右手,SZ21-03
07-25 18:44,1.0,男,右手,SZ21-01
07-25 18:44,2.0,女,右手,SZ21-02
07-25 18:44,3.0,男,右手,SZ21-03
07-25 18:45,1.0,男,右手,SZ21-01
07-25 18:45,2.0,女,右手,SZ21-02
07-25 18:45,3.0,男,右手,SZ21-03
07-25 18:45,1.0,男,右手,SZ21-01
07-25 18:45,2.0,女,右手,SZ21-02
07-25 18:45,3.0,男,右手,SZ21-03
07-26 12:35,1.0,男,右手,SZ21-01
07-26 12:35,2.0,女,右手,SZ21-02
07-26 12:35,3.0,男,右手,SZ21-03
07-26 15:54,1.0,男,右手,SZ21-01
07-26 15:54,2.0,女,右手,SZ21-02
07-26 15:54,3.0,男,右手,SZ21-03
07-26 16:27,1.0,男,右手,SZ21-01
07-26 16:27,2.0,女,右手,SZ21-02
07-26 16:27,3.0,男,右手,SZ21-03
07-26 17:44,1.0,男,右手,SZ21-01
07-26 17:44,2.0,女,右手,SZ21-02
07-26 17:44,3.0,男,右手,SZ21-03
07-26 17:58,1.0,男,右手,SZ21-01
07-26 17:58,2.0,女,右手,SZ21-02
07-26 17:58,3.0,男,右手,SZ21-03
07-26 18:38,1.0,男,右手,SZ21-01
07-26 18:38,2.0,女,右手,SZ21-02
07-26 18:38,3.0,男,右手,SZ21-03
07-26 18:47,1.0,男,右手,SZ21-01
07-26 18:47,2.0,女,右手,SZ21-02
07-26 18:47,3.0,男,右手,SZ21-03
07-26 18:52,1.0,男,右手,SZ21-01
07-26 18:52,2.0,女,右手,SZ21-02
07-26 18:52,3.0,男,右手,SZ21-03
07-26 20:06,1.0,男,右手,SZ21-01
07-26 20:06,2.0,女,右手,SZ21-02
07-26 20:06,3.0,男,右手,SZ21-03
07-26 20:36,1.0,男,右手,SZ21-01
07-26 20:36,2.0,女,右手,SZ21-02
07-26 20:36,3.0,男,右手,SZ21-03
