登录时间,被试编号,性别,惯用手,标识
07-15 11:44,3.0,男,右手,SZ21-03
07-15 13:22,1.0,男,右手,SZ21-01
07-15 13:22,2.0,女,右手,SZ21-02
07-15 13:22,3.0,男,右手,SZ21-03
07-15 14:41,1.0,男,右手,SZ21-01
07-15 14:41,2.0,女,右手,SZ21-02
07-15 14:41,3.0,男,右手,SZ21-03
07-15 14:41,1.0,男,右手,SZ21-01
07-15 14:41,2.0,女,右手,SZ21-02
07-15 14:41,3.0,男,右手,SZ21-03
07-15 15:16,1.0,男,右手,SZ21-01
07-15 15:16,2.0,女,右手,SZ21-02
07-15 15:16,3.0,男,右手,SZ21-03
07-15 16:07,1.0,男,右手,SZ21-01
07-15 16:07,2.0,女,右手,SZ21-02
07-15 16:07,3.0,男,右手,SZ21-03
07-15 18:30,1.0,男,右手,SZ21-01
07-15 18:30,2.0,女,右手,SZ21-02
07-15 18:30,3.0,男,右手,SZ21-03
07-15 18:31,1.0,男,右手,SZ21-01
07-15 18:31,2.0,女,右手,SZ21-02
07-15 18:31,3.0,男,右手,SZ21-03
07-15 18:31,2.0,女,右手,SZ21-02
07-15 18:31,1.0,男,右手,SZ21-01
07-15 18:31,3.0,男,右手,SZ21-03
07-16 20:55,2.0,女,右手,SZ21-02
07-16 20:55,1.0,男,右手,SZ21-01
07-16 20:55,3.0,男,右手,SZ21-03
07-16 21:20,2.0,女,右手,SZ21-02
07-16 21:20,1.0,男,右手,SZ21-01
07-16 21:20,3.0,男,右手,SZ21-03
07-16 21:21,2.0,女,右手,SZ21-02
07-16 21:21,1.0,男,右手,SZ21-01
07-16 21:21,3.0,男,右手,SZ21-03
07-16 21:22,2.0,女,右手,SZ21-02
07-16 21:22,1.0,男,右手,SZ21-01
07-16 21:22,3.0,男,右手,SZ21-03
07-16 21:23,2.0,女,右手,SZ21-02
07-16 21:23,1.0,男,右手,SZ21-01
